t_ns,phase,tau_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1779587839332286119,C,2.348099604974446e-05,0.0,1.4730055288056545,-2.8825683393013146,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.224,0.0,-0.001,0.0,-0.335475,-0.028349999999999997,0.609525,0.0,-0.04600512,0.01150128
1779587839332286119,C,0.054315347801005366,0.0,1.4730055288056545,-2.8825683393013146,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.224,0.0,-0.001,0.0,-0.335475,-0.028349999999999997,0.609525,0.0,-0.04600512,0.01150128
1779587842381595611,C,0.10803557957779128,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3449249999999999,-0.27405,0.12285,0.00575064,-0.10446996,0.014376599999999998
1779587842381595611,C,0.16682251115916497,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3449249999999999,-0.27405,0.12285,0.00575064,-0.10446996,0.014376599999999998
1779587842381595611,C,0.2212352170703402,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3449249999999999,-0.27405,0.12285,0.00575064,-0.10446996,0.014376599999999998
1779587842401587247,C,0.2757815787243715,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33075,-0.3213,0.06615,0.00670908,-0.09776088000000001,0.00287532
1779587842401587247,C,0.33499833970392784,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33075,-0.3213,0.06615,0.00670908,-0.09776088000000001,0.00287532
1779587842401587247,C,0.38812972684828034,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33075,-0.3213,0.06615,0.00670908,-0.09776088000000001,0.00287532
1779587842422323942,C,0.44175166128502047,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.316575,-0.25987499999999997,0.31185,0.00670908,-0.10351152,0.01245972
1779587842422323942,C,0.5028179126405035,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.316575,-0.25987499999999997,0.31185,0.00670908,-0.10351152,0.01245972
1779587842422323942,C,0.5605711619114682,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.316575,-0.25987499999999997,0.31185,0.00670908,-0.10351152,0.01245972
1779587842436574459,C,0.6158995287876466,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.335475,-0.23152499999999998,0.458325,0.00287532,-0.10351152,0.01629348
1779587842436574459,C,0.6812930633974159,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.335475,-0.23152499999999998,0.458325,0.00287532,-0.10351152,0.01629348
1779587842436574459,C,0.7379706775918772,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.335475,-0.23152499999999998,0.458325,0.00287532,-0.10351152,0.01629348
1779587842452289581,C,0.7924544330682649,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,-0.3213,-0.27405,0.5008499999999999,-0.00095844,-0.10159463999999999,0.02491944
1779587842452289581,C,0.8576795502501513,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,-0.3213,-0.27405,0.5008499999999999,-0.00095844,-0.10159463999999999,0.02491944
1779587842452289581,C,0.913930788712995,0.0,1.4730055288056545,-2.8676108676117233,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,-0.3213,-0.27405,0.5008499999999999,-0.00095844,-0.10159463999999999,0.02491944
1779587842471895217,C,0.9680836578250908,0.0,1.4730055288056545,-2.86563864555697,-0.09169959889978208,-0.017296212887263806,0.0,0.0,-0.004,0.064,0.0,0.0,0.0,-0.3402,0.014174999999999998,0.779625,0.0047922,-0.09680244,0.02108568
1779587842471895217,C,0.9783748008000657,0.0,1.4730055288056545,-2.86563864555697,-0.09169959889978208,-0.017296212887263806,0.0,0.0,-0.004,0.064,0.0,0.0,0.0,-0.3402,0.014174999999999998,0.779625,0.0047922,-0.09680244,0.02108568
1779587842471895217,C,0.9783748008000657,0.0,1.4730055288056545,-2.86563864555697,-0.09169959889978208,-0.017296212887263806,0.0,0.0,-0.004,0.064,0.0,0.0,0.0,-0.3402,0.014174999999999998,0.779625,0.0047922,-0.09680244,0.02108568
1779587842491594552,C,0.9783748008000657,0.0,1.4730055288056545,-2.8629857450939387,-0.09169959889978208,-0.017296212887263806,0.0,0.0,-0.02,0.14400000000000002,0.0,0.0,0.0,-0.3402,0.108675,0.609525,0.0095844,-0.095844,0.01150128
