t_ns,phase,tau_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1779587832093908786,A_-,-2.1000050764996558e-07,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.335475,-0.12285,0.070875,-0.00287532,-0.1006362,0.014376599999999998
1779587832093908786,A_-,-0.00220738087546124,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.335475,-0.12285,0.070875,-0.00287532,-0.1006362,0.014376599999999998
1779587832093908786,A_-,-0.004230765937563774,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.335475,-0.12285,0.070875,-0.00287532,-0.1006362,0.014376599999999998
1779587832128923654,A_-,-0.006214074750232612,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33075,-0.16065,0.108675,0.0047922,-0.09871932,0.00575064
1779587832128923654,A_-,-0.00837199050010895,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33075,-0.16065,0.108675,0.0047922,-0.09871932,0.00575064
1779587832128923654,A_-,-0.010412785687776704,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33075,-0.16065,0.108675,0.0047922,-0.09871932,0.00575064
1779587832159076452,A_-,-0.012404667750161025,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.005,0.0,0.0,0.0,0.0,-0.3213,-0.3969,0.080325,-0.0047922,-0.09776088000000001,0.0095844
1779587832159076452,A_-,-0.014571384562486855,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.005,0.0,0.0,0.0,0.0,-0.3213,-0.3969,0.080325,-0.0047922,-0.09776088000000001,0.0095844
1779587832159076452,A_-,-0.016602406875335873,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.005,0.0,0.0,0.0,0.0,-0.3213,-0.3969,0.080325,-0.0047922,-0.09776088000000001,0.0095844
1779587832193878412,A_-,-0.01859098331237874,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34964999999999996,-0.184275,0.070875,-0.00095844,-0.10351152,0.00862596
1779587832193878412,A_-,-0.02076467137499094,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34964999999999996,-0.184275,0.070875,-0.00095844,-0.10351152,0.00862596
1779587832193878412,A_-,-0.022806522562405007,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34964999999999996,-0.184275,0.070875,-0.00095844,-0.10351152,0.00862596
1779587832228885173,A_-,-0.024792267187649486,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34964999999999996,-0.23152499999999998,0.127575,-0.00670908,-0.09871932,0.01821036
1779587832228885173,A_-,-0.026940961875425273,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34964999999999996,-0.23152499999999998,0.127575,-0.00670908,-0.09871932,0.01821036
1779587832228885173,A_-,-0.02894238899989432,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34964999999999996,-0.23152499999999998,0.127575,-0.00670908,-0.09871932,0.01821036
1779587832258942842,A_-,-0.03110400018749715,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3402,-0.2646,0.11339999999999999,-0.00287532,-0.09871932,0.01533504
1779587832258942842,A_-,-0.03329280693742476,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3402,-0.2646,0.11339999999999999,-0.00287532,-0.09871932,0.01533504
1779587832258942842,A_-,-0.03535286025021378,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3402,-0.2646,0.11339999999999999,-0.00287532,-0.09871932,0.01533504
1779587832293908596,A_-,-0.03736843406272783,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3402,-0.23625,0.108675,-0.00287532,-0.09680244,0.01245972
1779587832293908596,A_-,-0.0395663778749622,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3402,-0.23625,0.108675,-0.00287532,-0.09680244,0.01245972
1779587832293908596,A_-,-0.04160726306304241,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3402,-0.23625,0.108675,-0.00287532,-0.09680244,0.01245972
1779587832328853130,A_-,-0.04360810818752725,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,-0.036000000000000004,0.0,0.0,0.0,0.0,-0.3449249999999999,-0.10394999999999999,0.05669999999999999,-0.00287532,-0.10351152,0.01533504
1779587832328853130,A_-,-0.04579797075030001,0.0,1.4730055288056545,-2.8991838737803004,-0.09169959889978208,-0.017296212887263806,0.0,0.0,-0.036000000000000004,0.0,0.0,0.0,0.0,-0.3449249999999999,-0.10394999999999999,0.05669999999999999,-0.00287532,-0.10351152,0.01533504
