t_ns,phase,tau_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1779587617807944536,A_-,-2.479991962900385e-07,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.083,0.0,0.0,0.14100000000000001,0.0,-0.3402,-0.55755,-2.7027,-0.00575064,-0.70349496,0.00670908
1779587617807944536,A_-,-0.002938053249636141,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.083,0.0,0.0,0.14100000000000001,0.0,-0.3402,-0.55755,-2.7027,-0.00575064,-0.70349496,0.00670908
1779587617807944536,A_-,-0.005621979249553988,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.083,0.0,0.0,0.14100000000000001,0.0,-0.3402,-0.55755,-2.7027,-0.00575064,-0.70349496,0.00670908
1779587617827874422,A_-,-0.008280228499643272,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,0.128,0.0,0.0,-0.301,0.0,-0.335475,-3.699675,-2.6885250000000003,0.00287532,-0.28178136,0.01245972
1779587617827874422,A_-,-0.01122088949978206,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,0.128,0.0,0.0,-0.301,0.0,-0.335475,-3.699675,-2.6885250000000003,0.00287532,-0.28178136,0.01245972
1779587617827874422,A_-,-0.014014289249644207,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,0.128,0.0,0.0,-0.301,0.0,-0.335475,-3.699675,-2.6885250000000003,0.00287532,-0.28178136,0.01245972
1779587617842890739,A_-,-0.016693791749275988,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.131,0.0,0.0,0.08600000000000001,0.0,-0.33075,-0.45359999999999995,-2.7452249999999996,0.029711639999999997,-0.66515736,0.01245972
1779587617842890739,A_-,-0.019619518499894184,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.131,0.0,0.0,0.08600000000000001,0.0,-0.33075,-0.45359999999999995,-2.7452249999999996,0.029711639999999997,-0.66515736,0.01245972
1779587617842890739,A_-,-0.02232958524928108,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.131,0.0,0.0,0.08600000000000001,0.0,-0.33075,-0.45359999999999995,-2.7452249999999996,0.029711639999999997,-0.66515736,0.01245972
1779587617872856616,A_-,-0.024998376999974425,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.10400000000000001,0.0,0.0,0.093,0.0,-0.316575,-0.4205249999999999,-2.6649000000000003,0.00766752,-0.66899112,0.01629348
1779587617872856616,A_-,-0.02791540099951817,0.0,1.4754315364659265,-2.4616821901828825,-0.09271188986593878,0.0,0.0,0.0,-0.10400000000000001,0.0,0.0,0.093,0.0,-0.316575,-0.4205249999999999,-2.6649000000000003,0.00766752,-0.66899112,0.01629348
