t_ns,phase,tau_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1779588366843009471,C,3.7295000870086974e-06,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189,-7.659224999999999,-0.7748999999999999,-0.09392712,-0.02204412,0.00670908
1779588369912530183,C,0.007068387568206179,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014174999999999998,-7.60725,-0.760725,-0.09680244,-0.023961,0.00287532
1779588369912530183,C,0.014808253817392493,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014174999999999998,-7.60725,-0.760725,-0.09680244,-0.023961,0.00287532
1779588369912530183,C,0.02204607472449016,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014174999999999998,-7.60725,-0.760725,-0.09680244,-0.023961,0.00287532
1779588369923205137,C,0.02906071991698255,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028349999999999997,-7.6356,-0.760725,-0.09488556,-0.02683632,0.00191688
1779588369923205137,C,0.036672504968224155,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028349999999999997,-7.6356,-0.760725,-0.09488556,-0.02683632,0.00191688
1779588369923205137,C,0.04373778591366191,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028349999999999997,-7.6356,-0.760725,-0.09488556,-0.02683632,0.00191688
1779588369942518472,C,0.05077435099266426,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00945,-7.6545,-0.760725,-0.09392712,-0.02587788,0.0
1779588369942518472,C,0.05863579122891535,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00945,-7.6545,-0.760725,-0.09392712,-0.02587788,0.0
1779588369942518472,C,0.06602104271616341,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00945,-7.6545,-0.760725,-0.09392712,-0.02587788,0.0
1779588369958827018,C,0.07316289887986328,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,-7.6167,-0.76545,-0.095844,-0.02491944,0.00287532
1779588369958827018,C,0.08086273643751778,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,-7.6167,-0.76545,-0.095844,-0.02491944,0.00287532
1779588369958827018,C,0.08798664955479121,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,-7.6167,-0.76545,-0.095844,-0.02491944,0.00287532
1779588369972719907,C,0.09508855990861251,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023625,-7.6167,-0.76545,-0.00287532,-0.01821036,0.00575064
1779588369972719907,C,0.10272649032198523,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023625,-7.6167,-0.76545,-0.00287532,-0.01821036,0.00575064
1779588369972719907,C,0.10982421663865646,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023625,-7.6167,-0.76545,-0.00287532,-0.01821036,0.00575064
1779588369987989187,C,0.11683024253493994,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004725,-7.602524999999999,-0.760725,0.01341816,-0.02300256,0.0047922
1779588369987989187,C,0.12454802184347975,2.3911010752322315,2.4821898088938155,-0.8255407361933179,-0.04235914094590238,-0.012374384396639796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004725,-7.602524999999999,-0.760725,0.01341816,-0.02300256,0.0047922
