step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,-0.06578774750232697,-0.005787748235600588,1.631448745727539,1.571448779011639,-1.3483755588531494,-1.3445957296538746,-0.0225282721221447,0.002719868223542898,-0.06480690836906433,-0.004806913206227182,0.04392043501138687,0.005355043328007905
1,0.02,policy,False,0.027,-0.12578774988651276,-0.005894551630530963,1.69144868850708,1.5715646844289712,-1.35982346534729,-1.3446077387358328,-0.02511773258447647,0.002618642293880992,-0.07728655636310577,-0.005045430952759392,0.014150924980640411,0.005529401753587993
2,0.04,policy,False,0.027,-0.18578775227069855,-0.006490562907287918,1.751448631286621,1.572099520627118,-1.3691973686218262,-1.3447043217080648,-0.01565958373248577,0.002462982999692797,-0.05834820866584778,-0.005534638478182684,-0.0032433923333883286,0.005673282001543611
3,0.06,policy,False,0.027,-0.24578775465488434,-0.00814673338676154,1.800572156906128,1.5737906070217924,-1.3538357019424438,-1.3456002889032448,0.027849705889821053,0.0023341652005176216,-0.07326508313417435,-0.006020297242719634,-0.01927824877202511,0.00567989501150849
4,0.08,policy,False,0.027,-0.2486436516046524,-0.011409476773106296,1.7953128814697266,1.5772351479506064,-1.3276854753494263,-1.3477601063204045,0.0878497064113617,0.0024004660459407434,-0.11664393544197083,-0.006584136864822176,-0.04652149975299835,0.005567351966735902
5,0.1,policy,False,0.027,-0.1886436492204666,-0.016464784760902955,1.7353129386901855,1.5821817203373068,-1.3117563724517822,-1.3499349713628217,0.12596598267555237,0.002810461908430409,-0.05664393678307533,-0.009459577129685131,-0.09588268399238586,0.005296134740923553
6,0.12,policy,False,0.027,-0.12864364683628082,-0.02286822902580985,1.6756983995437622,1.5876724050100501,-1.299715518951416,-1.3514789852299955,0.06596598029136658,0.0037489212703090565,0.00335606187582016,-0.012836955230815426,-0.0566912442445755,0.004742530343597331
7,0.14,policy,False,0.027,-0.06864364445209503,-0.029915337467717924,1.651136040687561,1.5926405941864035,-1.3350306749343872,-1.3520846146241585,0.07341251522302628,0.004478507022322367,-0.04181942716240883,-0.014022343677018184,-0.027923569083213806,0.004250615932297986
8,0.16,policy,False,0.027,-0.00864364579319954,-0.03690674864038382,1.6413066387176514,1.5972502632452639,-1.3742210865020752,-1.3521408018251166,0.07886060327291489,0.004960873969781299,-0.10181942582130432,-0.014365802410571846,-0.02731652371585369,0.003942115744266374
9,0.18,policy,False,0.027,0.05135635286569595,-0.043169511225671114,1.631812334060669,1.6018071827015214,-1.4023175239562988,-1.3521579172124896,0.07192204892635345,0.005433434163189881,-0.12961073219776154,-0.014762544511186453,-0.023505523800849915,0.003700470748614522
10,0.2,policy,False,0.027,0.11135634779930115,-0.04807693579541789,1.6330622434616089,1.6062778848028838,-1.419103741645813,-1.3522126591942758,0.046924419701099396,0.005884285389579889,-0.10179537534713745,-0.015323485244612377,-0.03179961070418358,0.0034838376192457203
11,0.22,policy,False,0.027,0.06107708439230919,-0.05104653815086995,1.6066256761550903,1.6106150397835768,-1.4350223541259766,-1.3523864225278657,-0.013075578957796097,0.006223206450251672,-0.07022343575954437,-0.015826797860749902,-0.04210105165839195,0.003242071711498452
12,0.24,policy,False,0.027,0.0010770857334136963,-0.05215517469264099,1.624046802520752,1.6146778444890595,-1.4668571949005127,-1.3527116200437261,-0.04777000471949577,0.00626099081229733,-0.046288296580314636,-0.016106778683332577,-0.012461906298995018,0.002934975688315468
13,0.26,policy,False,0.027,-0.058922912925481796,-0.05230341626460816,1.6476625204086304,1.6187088439194344,-1.4805208444595337,-1.3537243929341345,-0.03203687071800232,0.006002813940587524,-0.0668582022190094,-0.016108447539273762,1.7935410141944885e-05,0.002722750591414986
14,0.28,policy,False,0.027,-0.11892291158437729,-0.05230483668230215,1.6645193099975586,1.6232037875240897,-1.483249306678772,-1.3560600136500676,-0.03148287907242775,0.005700460877646165,-0.08530332893133163,-0.016054028064567648,-0.014954479411244392,0.00262573173629409
15,0.3,policy,False,0.027,-0.17892290651798248,-0.052431399977985696,1.6708546876907349,1.6283766052392876,-1.4776710271835327,-1.359901865163873,-0.038289595395326614,0.005422123235514723,-0.083006352186203,-0.016099524558480634,-0.02237897366285324,0.0025013126857213797
16,0.32,policy,False,0.027,-0.23892290890216827,-0.0530554689763943,1.659711241722107,1.6341205452204988,-1.4526394605636597,-1.365033309056672,-0.02823653817176819,0.005123922179389855,-0.07521810382604599,-0.016224066208023982,-0.02766823209822178,0.0023182299148446738
17,0.34,policy,False,0.027,-0.2226625382900238,-0.0547285996255977,1.6486916542053223,1.6398851386876199,-1.42176353931427,-1.3705996818061525,0.025675106793642044,0.004859876008165336,-0.05352918803691864,-0.01643299969934642,-0.0477910041809082,0.0021011165827843534
18,0.36,policy,False,0.027,-0.162662535905838,-0.05757076471978972,1.669912338256836,1.644901722610227,-1.3991765975952148,-1.3754145866165246,0.026010386645793915,0.00484634336914717,-0.04595763981342316,-0.01669373695760762,-0.027850279584527016,0.0017923982906085571
19,0.38,policy,False,0.027,-0.10266253352165222,-0.06113668783139098,1.7027027606964111,1.648824804740089,-1.3819167613983154,-1.378781457391987,0.008949948474764824,0.00496917710393159,-0.030134502798318863,-0.017004475598538602,-0.028469925746321678,0.001537663096552974
20,0.4,policy,False,0.027,-0.04266253486275673,-0.0648082178276899,1.7367947101593018,1.6518004528018828,-1.371530294418335,-1.3806366729748996,0.005242542829364538,0.005054864485164942,-0.0013015903532505035,-0.01732307200144194,-0.024571537971496582,0.001335314140337525
21,0.42,policy,False,0.027,0.017337463796138763,-0.06798747355521723,1.7551840543746948,1.654198199148057,-1.3635836839675903,-1.3812670531201259,0.0014110940974205732,0.005100567044894311,0.028820957988500595,-0.01754391803617358,-0.02146720327436924,0.0011608244179335692
22,0.44,policy,False,0.027,0.07733745872974396,-0.0700976755497859,1.7473959922790527,1.6565590596825195,-1.354987621307373,-1.3813829525820442,-0.018424781039357185,0.005119202656102967,0.05712134391069412,-0.01754340514555807,-0.02423493191599846,0.001007319912287895
23,0.46,policy,False,0.027,0.017337460070848465,-0.07072037392242798,1.7264403104782104,1.6591230343755932,-1.3542534112930298,-1.3814008191448377,-0.0648118332028389,0.005047443795608544,0.07361578196287155,-0.017309790430745965,-0.011421900242567062,0.0008470474930497427
24,0.48,policy,False,0.027,-0.04266253858804703,-0.07057344608478852,1.723568320274353,1.6617978168083916,-1.3455601930618286,-1.381376954113603,-0.05496014654636383,0.004733987771880085,0.0857376977801323,-0.016878732386706372,0.006059078499674797,0.0007346140227327229
25,0.5,policy,False,0.027,-0.10266253352165222,-0.07034455531425018,1.7180235385894775,1.6645049169153097,-1.3297818899154663,-1.3813218845200488,-0.04495445638895035,0.004343552233167601,0.08028378337621689,-0.016316016182440572,-0.007704919204115868,0.0007246616436652742
26,0.52,policy,False,0.027,-0.162662535905838,-0.07030648897096216,1.7159414291381836,1.6671682544255126,-1.3177586793899536,-1.3811540320787594,-0.03693125769495964,0.00399990033229854,0.07364466786384583,-0.01573192817204944,-0.003477705642580986,0.0006976486471859906
27,0.54,policy,False,0.027,-0.14650958776474,-0.0705770696510762,1.7214471101760864,1.669595305482653,-1.310524582862854,-1.3805733304329384,-0.027171039953827858,0.0037141879872800276,0.0680742859840393,-0.015212542969825368,-0.014434383250772953,0.0006646968951653327
28,0.56,policy,False,0.027,-0.09480831772089005,-0.07118315127882435,1.739398717880249,1.6716822854478797,-1.3098626136779785,-1.3793843983353233,-0.024598117917776108,0.0034930591221990497,0.0638398677110672,-0.014761753773234127,-0.0071116662584245205,0.00059267095375919
29,0.58,policy,False,0.027,-0.0543266199529171,-0.0717794136679847,1.7671927213668823,1.673602719602311,-1.3174651861190796,-1.3777659972138276,-0.03373796120285988,0.003310311259736992,0.059860967099666595,-0.014347932958611583,-0.005699944216758013,0.0005286592549622984
30,0.6,policy,False,0.027,-0.08553559333086014,-0.07201855419931427,1.8049157857894897,1.6757971586215883,-1.3356256484985352,-1.3762568225519056,-0.04157058149576187,0.003101072093212849,0.06655902415513992,-0.013936155971912785,0.0063242739997804165,0.00048422115377626056
31,0.62,policy,False,0.027,-0.11745244264602661,-0.07209186286433547,1.8369444608688354,1.6788868085407116,-1.3524338006973267,-1.3756404467967978,-0.04319338873028755,0.0028368438133186,0.06109268590807915,-0.013468666800433673,-0.0031102518551051617,0.0004949288600441809
32,0.64,policy,False,0.027,-0.13425466418266296,-0.07219876059872234,1.8683807849884033,1.6829082654215508,-1.3892842531204224,-1.375589690874631,-0.03681545332074165,0.002559992095044491,0.0686083510518074,-0.013140318851269497,-0.008921636268496513,0.000505796288188533
33,0.66,policy,False,0.027,-0.11999049782752991,-0.07239637022182359,1.8980528116226196,1.6880492922487036,-1.4373127222061157,-1.3761845894156266,-0.036519065499305725,0.0023073467281059163,0.05307164415717125,-0.012831507761853926,-0.008463912643492222,0.0004746973741289354
34,0.68,policy,False,0.027,-0.10571757704019547,-0.07262759211223123,1.910871982574463,1.695096370983335,-1.478561520576477,-1.378625119325514,-0.040734097361564636,0.0020578014968251133,0.017358828336000443,-0.012438716059574058,-0.009514420293271542,0.0004161838158936925
35,0.7000000000000001,policy,False,0.027,-0.10716883838176727,-0.07279268533820936,1.902972936630249,1.7046968055193952,-1.5115734338760376,-1.3839911028319496,-0.0399644635617733,0.0017810646227907883,-0.01276019960641861,-0.012063786421272189,-0.012364028953015804,0.0003375442627687574
36,0.72,policy,False,0.027,-0.12227360904216766,-0.07291716514952916,1.8998502492904663,1.71693988316599,-1.5489857196807861,-1.3926638110875786,-0.0483710840344429,0.001490093787490778,-0.024575889110565186,-0.011780626080066345,-0.009451349265873432,0.00023362212903225738
37,0.74,policy,False,0.027,-0.15606679022312164,-0.07305582889669446,1.9096087217330933,1.7316955776310738,-1.5926350355148315,-1.404791928606035,-0.0640532523393631,0.0011595411754890448,-0.0268973670899868,-0.011532971212170314,-0.006763536483049393,0.00012822887805511715
38,0.76,policy,False,0.027,-0.1747402548789978,-0.07335001560380967,1.9241613149642944,1.7489699492245872,-1.6425625085830688,-1.420701760463765,-0.07179807871580124,0.0007410825804102409,-0.044044699519872665,-0.011243065079377208,-0.016132190823554993,3.375316600367873e-05
39,0.78,policy,False,0.027,-0.16386575996875763,-0.07397404557519052,1.929149866104126,1.7688922198001837,-1.6931043863296509,-1.4408510113793183,-0.07195577770471573,0.0002484665551285587,-0.08712581545114517,-0.010937657914323752,-0.04511720687150955,-0.00010367439509006536
40,0.8,policy,False,0.027,-0.17181147634983063,-0.07491453428122567,1.9030662775039673,1.7914866335559643,-1.731886863708496,-1.4655479898028807,-0.09080451726913452,-0.0002695432606215752,-0.12104540318250656,-0.010754754479112666,-0.07097363471984863,-0.00039955535480929436
41,0.8200000000000001,policy,False,0.027,-0.2019735425710678,-0.0761392296588968,1.8430663347244263,1.8162552501075708,-1.7530739307403564,-1.494432128894779,-0.10632118582725525,-0.0008638889221957343,-0.12598258256912231,-0.010768020064995904,-0.07436627894639969,-0.0008843142195385234
42,0.84,policy,False,0.027,-0.18240976333618164,-0.07778298791978903,1.797813892364502,1.8419189161578966,-1.7775006294250488,-1.5260662283438444,-0.12591314315795898,-0.0015540274497714284,-0.11004889011383057,-0.01092979038480328,-0.07001841068267822,-0.0014488599582892705
43,0.86,policy,False,0.027,-0.12240976095199585,-0.07983860481879733,1.8011704683303833,1.8670630068909353,-1.831521987915039,-1.5587443120514963,-0.06777762621641159,-0.002698117128412185,-0.07264633476734161,-0.011110489100942679,-0.022858399897813797,-0.0019963841600735316
44,0.88,policy,False,0.027,-0.0917138159275055,-0.08196531484682995,1.8611704111099243,1.891219956411268,-1.89152193069458,-1.5920000364973053,-0.12777762115001678,-0.0035268061421525115,-0.042339447885751724,-0.011081310621629703,-0.051143206655979156,-0.0023364764177544986
45,0.9,release,True,0.035,-0.0917138159275055,-0.08383452739711914,1.8611704111099243,1.9150770920066797,-1.89152193069458,-1.6268991606528518,-0.12777762115001678,-0.004657037548662549,-0.042339447885751724,-0.010767609859679835,-0.051143206655979156,-0.0026811223323645783
46,0.92,passive,True,0.035,-0.0917138159275055,-0.08536513693978139,1.8611704111099243,1.938515164558183,-1.89152193069458,-1.6630366466070894,-0.12777762115001678,-0.006285903796814682,-0.042339447885751724,-0.01046650973616476,-0.051143206655979156,-0.003069946425269991
47,0.9400000000000001,passive,True,0.035,-0.0917138159275055,-0.08658165421831011,1.8611704111099243,1.960489341096169,-1.89152193069458,-1.6985703902767093,-0.12777762115001678,-0.007870737923501434,-0.042339447885751724,-0.010318173041473486,-0.051143206655979156,-0.003453881676002678
48,0.96,passive,True,0.035,-0.0917138159275055,-0.08751079634762048,1.8611704111099243,1.9800630663340428,-1.89152193069458,-1.7318286887799628,-0.12777762115001678,-0.009086816915785367,-0.042339447885751724,-0.01031396349120997,-0.051143206655979156,-0.0038261888187806807
49,0.98,passive,True,0.035,-0.0917138159275055,-0.08817674980952386,1.8611704111099243,1.996453580898856,-1.89152193069458,-1.761383552363817,-0.12777762115001678,-0.009945734081631262,-0.042339447885751724,-0.010422417806166377,-0.051143206655979156,-0.004184496870374255
50,1.0,passive,True,0.035,-0.0917138159275055,-0.08859830611516814,1.8611704111099243,2.009080821113816,-1.89152193069458,-1.7861467854240423,-0.12777762115001678,-0.010719084683309425,-0.042339447885751724,-0.010607233454433053,-0.051143206655979156,-0.004529891013263777
51,1.02,passive,True,0.035,-0.0917138159275055,-0.0888063806804312,1.8611704111099243,2.0176050886799652,-1.89152193069458,-1.805437742369247,-0.12777762115001678,-0.011473966635790414,-0.042339447885751724,-0.010832290631366426,-0.051143206655979156,-0.004867887309784172
52,1.04,passive,True,0.035,-0.0917138159275055,-0.08890661557928906,1.8611704111099243,2.0219418259714295,-1.89152193069458,-1.8190246351905448,-0.12777762115001678,-0.012222367566658265,-0.042339447885751724,-0.011065349648549992,-0.051143206655979156,-0.005202217357439223
53,1.06,passive,True,0.035,-0.0917138159275055,-0.08896330183394566,1.8611704111099243,2.0227099838232356,-1.89152193069458,-1.8277250805206746,-0.12777762115001678,-0.012967481119556246,-0.042339447885751724,-0.011284403847694647,-0.051143206655979156,-0.005535221555280999
54,1.08,passive,True,0.035,-0.0917138159275055,-0.08899885846600229,1.8611704111099243,2.0212517180174987,-1.89152193069458,-1.833364528152424,-0.12777762115001678,-0.013709155364328185,-0.042339447885751724,-0.01149135809975573,-0.051143206655979156,-0.00586679098973983
55,1.1,passive,True,0.035,-0.0917138159275055,-0.08902541306054647,1.8611704111099243,2.0178370581755094,-1.89152193069458,-1.8363435040298317,-0.12777762115001678,-0.014447617656987407,-0.042339447885751724,-0.011682012512383683,-0.051143206655979156,-0.006197389012821216
56,1.12,passive,True,0.035,-0.0917138159275055,-0.08904721668490433,1.8611704111099243,2.012798589919915,-1.89152193069458,-1.8372086205932494,-0.12777762115001678,-0.015184951361993758,-0.042339447885751724,-0.011834575781621545,-0.051143206655979156,-0.006529153290410041
