step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,-0.05328186973929405,0.006718128769473474,1.5785921812057495,1.574335688914989,-1.3321850299835205,-1.3493917166797815,-0.010166858322918415,0.00027555983834355406,-0.03681712597608566,-0.0014160103210502232,-0.037308353930711746,-0.0012326922521687846
1,0.02,policy,False,0.027,-0.11328186839818954,0.00660641839410513,1.57076096534729,1.574344501841026,-1.3205217123031616,-1.3493671728308854,-0.025761857628822327,0.00023575844478769455,-0.03990737721323967,-0.0015474671736450648,-0.0398360937833786,-0.0013928588093912475
2,0.04,policy,False,0.027,-0.17328186333179474,0.006020413433168221,1.5682828426361084,1.5743475988674525,-1.310559868812561,-1.3493118692673098,-0.040335237979888916,0.00011044880304941615,-0.04856310039758682,-0.0017516663597847136,-0.047452863305807114,-0.001650935084277327
3,0.06,policy,False,0.027,-0.23328186571598053,0.004356093647049418,1.5550440549850464,1.574334062227284,-1.3043819665908813,-1.3492330437512179,-0.040542829781770706,-0.00011018935462259305,-0.08575686812400818,-0.002002162228789611,-0.061459437012672424,-0.0019590814199089385
4,0.08,policy,False,0.027,-0.2588180899620056,0.0010445444271431495,1.5275324583053589,1.5742848290413456,-1.291609525680542,-1.3490721130592547,-0.04473554715514183,-0.00036751347986753105,-0.14073428511619568,-0.0024131023459209376,-0.08060425519943237,-0.0023489869672492798
5,0.1,policy,False,0.027,-0.19881808757781982,-0.004251776560245937,1.4734065532684326,1.5741097667646162,-1.2925306558609009,-1.3483194302759987,-0.003104276955127716,-0.0006432592963296723,-0.08073428273200989,-0.004093397671808072,-0.14060425758361816,-0.0028561937360248183
6,0.12,policy,False,0.027,-0.13881808519363403,-0.011201045003434745,1.473917841911316,1.5733785462077947,-1.3086538314819336,-1.3470557073723015,0.01238593552261591,-0.0007507154437674296,-0.13993698358535767,-0.005348909410501766,-0.08060425519943237,-0.0042589343827039985
7,0.14,policy,False,0.027,-0.07881808280944824,-0.019070451733406626,1.475685477256775,1.5719862541839134,-1.3349298238754272,-1.3453083358295868,0.029288996011018753,-0.0007273624139908217,-0.19993698596954346,-0.00614571548207391,-0.06775438785552979,-0.005364271805391637
8,0.16,policy,False,0.027,-0.01881808415055275,-0.02712609432302094,1.4637254476547241,1.5703884537208739,-1.3529999256134033,-1.3431300400186115,0.030101653188467026,-0.0006025341599698067,-0.13993698358535767,-0.008761005269290502,-0.12231689691543579,-0.005946287024053179
9,0.18,policy,False,0.027,0.04118191450834274,-0.03464940659229221,1.488404631614685,1.5689254273003255,-1.3674860000610352,-1.3419784499274694,-0.006159011274576187,-0.00043097574470468914,-0.19993698596954346,-0.010565594041664943,-0.1046816036105156,-0.006679239517166873
10,0.2,policy,False,0.027,0.10118190944194794,-0.04094724622371732,1.4751157760620117,1.5677881223654202,-1.364768147468567,-1.3417755014084116,-0.015639010816812515,-0.0003969965264759754,-0.13993698358535767,-0.012571191459358377,-0.1189720630645752,-0.0074504401675312935
11,0.22,policy,False,0.027,0.11807917803525925,-0.04537027680333583,1.4894044399261475,1.566590903161631,-1.3755801916122437,-1.3417601711705807,-0.04896208643913269,-0.0004595420118430886,-0.07993698120117188,-0.014837216123348996,-0.0589720644056797,-0.008239656578218216
12,0.24,policy,False,0.027,0.058079179376363754,-0.04755947568557459,1.5405241250991821,1.5650187757768046,-1.3759931325912476,-1.3418075773697247,-0.07323335856199265,-0.0006740907084167158,-0.019936982542276382,-0.01576445395067098,-0.0359853133559227,-0.008776378195228798
13,0.26,policy,False,0.027,-0.0019208192825317383,-0.047995737167114715,1.6005240678787231,1.563481688569722,-1.3708992004394531,-1.3420105494490633,-0.05295040085911751,-0.001058594262319588,-0.015468575060367584,-0.0160338794344386,-0.031162776052951813,-0.009058067918992645
14,0.28,policy,False,0.027,-0.06192081794142723,-0.047929449950485294,1.6538805961608887,1.5626417732419016,-1.3643988370895386,-1.3427347069646418,-0.035840269178152084,-0.0014253328671072413,-0.02218114212155342,-0.016147166366182315,-0.035382360219955444,-0.009237194036881053
15,0.3,policy,False,0.027,-0.12192081660032272,-0.047889902092806816,1.699945330619812,1.5625718480510662,-1.3593714237213135,-1.3438899488865073,-0.03270373120903969,-0.0016847404485897041,-0.01997780054807663,-0.016292701644203014,-0.03962986171245575,-0.009408102982321552
16,0.32,policy,False,0.027,-0.18192081153392792,-0.04805036714981864,1.7346609830856323,1.5631377313789456,-1.35146963596344,-1.3452513863406488,-0.04056577757000923,-0.0018855479008674334,-0.014895141124725342,-0.016474281722675073,-0.05015874654054642,-0.009599673310827237
17,0.34,policy,False,0.027,-0.2419208139181137,-0.0488238209366815,1.746355414390564,1.5647054361910084,-1.3419544696807861,-1.3470811879951166,-0.06238783150911331,-0.0021020297376271595,-0.021226933225989342,-0.016679201180843206,-0.07701807469129562,-0.009842072004151332
18,0.36,policy,False,0.027,-0.2442033290863037,-0.05080365455228488,1.7092726230621338,1.5673390470113382,-1.3353309631347656,-1.3492895999954497,-0.06939325481653214,-0.0024164440050460697,-0.03739197552204132,-0.0169535709068026,-0.09235449135303497,-0.010222175021395311
19,0.38,policy,False,0.027,-0.18420332670211792,-0.05422037224711083,1.6629523038864136,1.5705550530520171,-1.3485839366912842,-1.351254136977096,-0.05260437726974487,-0.002803068777107893,-0.08179621398448944,-0.017344439653890195,-0.08242601901292801,-0.010733034100091975
20,0.4,policy,False,0.027,-0.12420332431793213,-0.05865826275813383,1.6209958791732788,1.5737211547412786,-1.3731392621994019,-1.3523717687785388,-0.04118775948882103,-0.0031436665006243725,-0.12116201221942902,-0.017906969163397072,-0.1029474213719368,-0.011247937567397217
21,0.42,policy,False,0.027,-0.06420332193374634,-0.06341962832465232,1.5862678289413452,1.576539043495454,-1.4071221351623535,-1.3526700238268645,-0.04333377256989479,-0.003409790685294531,-0.14787574112415314,-0.01859007569809693,-0.09331288933753967,-0.011846212959521707
22,0.44,policy,False,0.027,-0.004203323274850845,-0.06782854867472514,1.5614949464797974,1.5790673200794474,-1.443037986755371,-1.3527597562920894,-0.049850285053253174,-0.0036674187119913842,-0.15006066858768463,-0.019271329207389942,-0.06741291284561157,-0.012464033119343493
23,0.46,policy,False,0.027,0.05579667538404465,-0.0712425382957604,1.5573264360427856,1.5812545018467705,-1.4726735353469849,-1.3529291808461335,-0.06099449843168259,-0.003958386357140954,-0.10343724489212036,-0.019895976813024487,-0.060264185070991516,-0.012957733214364345
