step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,0.05729667469859123,-0.0014202925200379089,1.625295639038086,1.565295740021289,-1.3430804014205933,-1.3487541761840163,5.7868921430781484e-05,-0.00012365750801936648,0.02090444788336754,-0.0003797607546468044,0.05643806979060173,-0.003561930349316292
1,0.02,policy,False,0.027,0.11127743124961853,-0.0013136430448001943,1.685295581817627,1.5653944418679744,-1.3240386247634888,-1.3487617554642024,-0.007238011807203293,-0.0001220189852642141,0.020713988691568375,-0.00033197622869405804,0.08353674411773682,-0.003290710669736537
2,0.04,policy,False,0.027,0.14622603356838226,-0.0007594331236741679,1.745295524597168,1.5658518653879556,-1.3028770685195923,-1.3487827382536817,-0.01424933597445488,-0.0001394921024167754,0.025984203442931175,-0.00033377831314704894,0.08908993005752563,-0.002743965535779859
3,0.06,policy,False,0.027,0.11636944860219955,0.0006783501029698595,1.805295467376709,1.5670784714330608,-1.2949237823486328,-1.3488256304222663,-0.011197719722986221,-0.00018456054379304698,0.04642626643180847,-0.0004559776255862834,0.08316749334335327,-0.002075648232219618
4,0.08,policy,False,0.027,0.05636944994330406,0.0029486868005009943,1.86529541015625,1.569466654984647,-1.305066704750061,-1.3489260045886846,-0.012089292518794537,-0.0002189819018351086,0.0887189507484436,-0.0006357958414763785,0.06616980582475662,-0.001399043546608624
5,0.1,policy,False,0.027,-0.0036305487155914307,0.005522039431840709,1.9064160585403442,1.5737049486540615,-1.3111416101455688,-1.349744353848511,-0.009605352766811848,-0.00024827406526005706,0.09255261719226837,-0.0006436840742867267,0.05052448809146881,-0.0008104470197407913
6,0.12,policy,False,0.027,-0.06363055109977722,0.007746422553346368,1.8942228555679321,1.5804376385329417,-1.2923285961151123,-1.3519653694621594,0.0004109591245651245,-0.00026971378656336835,0.060454387217760086,-0.0005383996664240098,0.03761202096939087,-0.0003395893552818352
7,0.14,policy,False,0.027,-0.00487440824508667,0.008992817042080846,1.8397835493087769,1.5893961541308448,-1.2630610466003418,-1.3550896330261437,0.01204285304993391,-0.00023997672861445114,0.04151004180312157,-0.000605213712508475,0.014460351318120956,3.2610823119341697e-05
8,0.16,policy,False,0.027,0.05512559041380882,0.009363022053785188,1.7797836065292358,1.5993811512820135,-1.2596969604492188,-1.3575701569909226,0.023357950150966644,-0.0001285226287638829,0.05573131889104843,-0.0009343653389143582,0.0055808257311582565,0.00027374383981473003
9,0.18,policy,False,0.027,0.11512558907270432,0.00953200908862173,1.7257533073425293,1.609285836006187,-1.2796469926834106,-1.3583282092452176,0.013742834329605103,5.577533319234541e-05,0.055058274418115616,-0.0012511327356257316,0.02139669843018055,0.0004116411620157522
10,0.2,policy,False,0.027,0.1534225046634674,0.010015890620702832,1.6865259408950806,1.619172568428482,-1.295520544052124,-1.3583491977638245,0.0012882044538855553,0.00019881951559334174,0.023825375363230705,-0.0012373210774143163,0.03882917761802673,0.0005598210854412613
11,0.22,policy,False,0.027,0.09342250227928162,0.011250923442672338,1.6655163764953613,1.6289289724659464,-1.3222458362579346,-1.3580189697145097,0.0037871648091822863,0.00025477376837642284,0.02343202754855156,-0.0011393611813024383,0.041749320924282074,0.0008000676009179199
12,0.24,policy,False,0.027,0.033422503620386124,0.01302999291712626,1.6644428968429565,1.6383453298173924,-1.359378457069397,-1.3574185762725843,7.747579365968704e-05,0.0002779769953470602,0.023713799193501472,-0.0009743286142198611,0.04871523007750511,0.0010853454964379339
13,0.26,policy,False,0.027,-0.02657749503850937,0.01474398549320214,1.6596245765686035,1.6475925784324108,-1.380831241607666,-1.357110651504721,0.008624033071100712,0.0002724762586585582,-0.012544689700007439,-0.0006733036856685076,0.047049544751644135,0.0013984743468036468
14,0.28,policy,False,0.027,-0.04786822944879532,0.015816692655495436,1.653032898902893,1.656591463173926,-1.3878700733184814,-1.3570417532710206,0.013373573310673237,0.00028801807963499843,-0.049992963671684265,-0.00047501260133718266,0.04317788779735565,0.0017157637613660836
15,0.3,policy,False,0.027,-0.003011200577020645,0.016070434085737086,1.640783429145813,1.6651482966977498,-1.3920187950134277,-1.357011089583453,0.019876010715961456,0.000337581280176802,-0.07470428943634033,-0.00047457130874771974,0.03556596115231514,0.002009464236819829
16,0.32,policy,False,0.027,0.039119210094213486,0.016051049617161594,1.6427536010742188,1.6731224159207114,-1.392823338508606,-1.3569784516935908,0.016451165080070496,0.0004233117430947862,-0.08195602148771286,-0.0006202459814605291,0.043848007917404175,0.0022542703227207764
17,0.34,policy,False,0.027,0.06607422232627869,0.01606426633935011,1.6605044603347778,1.6804309940914932,-1.3837202787399292,-1.3569411439490238,0.012930412776768208,0.0005087977822493796,-0.0844658687710762,-0.0008338060643543237,0.048522017896175385,0.002512867591615299
18,0.36,policy,False,0.027,0.07109041512012482,0.016171201164653155,1.6922072172164917,1.6871074809572995,-1.364927887916565,-1.3568991036713536,0.013268916867673397,0.0005758554490812996,-0.08195918798446655,-0.0010930320882818233,0.04983167350292206,0.0028097653247621535
19,0.38,policy,False,0.027,0.055361874401569366,0.016349432386033577,1.7333869934082031,1.6932905611478029,-1.3379120826721191,-1.3568492244934893,0.012913052923977375,0.0006406976356872466,-0.07327689230442047,-0.0014026543197726193,0.05045851320028305,0.00312921626316002
