step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,0.014647149480879307,-0.005918373516664922,1.634874939918518,1.5748750485599148,-1.3695042133331299,-1.3492454363747743,-0.05679820105433464,0.003201799101567508,0.03728044033050537,0.0012009843854181872,0.0438249297440052,-0.006083534698873181
1,0.02,policy,False,0.027,0.027778558433055878,-0.005879447921388297,1.694874882698059,1.57497089856544,-1.3959599733352661,-1.3492892686151903,-0.044072866439819336,0.002965253544916544,0.02862238697707653,0.00130144898717717,0.0026905350387096405,-0.005854280918147203
2,0.04,policy,False,0.027,0.04051065817475319,-0.005788964487084129,1.7548748254776,1.5757377279894103,-1.4194409847259521,-1.3499389303070881,-0.044136643409729004,0.0026523433505220525,0.01418656762689352,0.0014645019509232295,0.01368853822350502,-0.005690544695877414
3,0.06,policy,False,0.027,0.06050362437963486,-0.00564286070996632,1.8148747682571411,1.5782132842907444,-1.4213272333145142,-1.3523739057373438,-0.03772992640733719,0.0023444928802676956,-0.008144167251884937,0.0016210308577167011,0.0013354467228055,-0.005570757780083533
4,0.08,policy,False,0.027,0.08754690736532211,-0.005338277928659711,1.8292165994644165,1.583224217974509,-1.3878074884414673,-1.3574252179890427,-0.047994568943977356,0.002065297369738771,0.007631960324943066,0.00165884478465567,-0.013397798873484135,-0.005492081901468434
5,0.1,policy,False,0.027,0.0888504907488823,-0.004650438607871568,1.778623342514038,1.5906442657522595,-1.3299946784973145,-1.3646191150653966,-0.05033908411860466,0.0017763497986667991,0.06053299456834793,0.00155612326584629,-0.020695623010396957,-0.0054925680511740144
6,0.12,policy,False,0.027,0.0305769145488739,-0.00350667737278179,1.718623399734497,1.599035059915994,-1.2738933563232422,-1.371859123495936,-0.0529397651553154,0.0014860880868267702,0.12053298950195312,0.0014114289245325353,-0.010681805200874805,-0.005538468657975586
7,0.14,policy,False,0.027,-0.013009879738092422,-0.0022931983964595446,1.6892995834350586,1.6064397689132208,-1.262136459350586,-1.3764630995035887,-0.06200878322124481,0.0012062274659771532,0.18053299188613892,0.001334371623147546,0.00044297147542238235,-0.005534534879697635
8,0.16,policy,False,0.027,-0.01460871659219265,-0.0015319205611520545,1.6990313529968262,1.6120174786577481,-1.2737523317337036,-1.3775552309665422,-0.04817120358347893,0.0008853618259978227,0.1293984055519104,0.0016311299398608068,0.00699581066146493,-0.005458564873925472
9,0.18,policy,False,0.027,-0.01134649571031332,-0.001299538189402401,1.7173714637756348,1.6168018898173198,-1.2947793006896973,-1.377038208773386,-0.051993727684020996,0.0005715936161903645,0.08519475162029266,0.002171132578504324,0.008062407374382019,-0.0053544021463152
10,0.2,policy,False,0.027,-0.0041806395165622234,-0.0012640376437602111,1.731429100036621,1.6214339677154919,-1.3210115432739258,-1.3758041832897163,-0.04689972847700119,0.00025771037007967537,0.06781326979398727,0.0025975789499482426,0.0054227979853749275,-0.005240787055319258
11,0.22,policy,False,0.027,0.004699767101556063,-0.001266210866357223,1.7304309606552124,1.6265035190501222,-1.3355556726455688,-1.3747929725607066,-0.04447122663259506,-5.0984783496548786e-05,0.04433625563979149,0.002979433545461834,0.0068587688729166985,-0.005147538785576418
12,0.24,policy,False,0.027,0.016860703006386757,-0.0012563320049253201,1.7155660390853882,1.6322552589458674,-1.341668963432312,-1.3744503963835164,-0.04637228325009346,-0.00034468356684992776,0.04452916979789734,0.0032897733863521774,0.002752040047198534,-0.005061505662641642
13,0.26,policy,False,0.027,0.02957717701792717,-0.0012158557953976493,1.6949470043182373,1.6383487990240453,-1.3408839702606201,-1.374363593467293,-0.04619896411895752,-0.0006352104063671751,0.05301978066563606,0.003524441949649796,0.003788317320868373,-0.004989444806713641
14,0.28,policy,False,0.027,0.040240705013275146,-0.0011351766395776095,1.675942301750183,1.644462688159327,-1.328697919845581,-1.3742915773609503,-0.04094406217336655,-0.000928702812185545,0.041010718792676926,0.0038068166778604494,0.005572734400629997,-0.004925134873172269
15,0.3,policy,False,0.027,0.04849947243928909,-0.0010147787585785151,1.665239691734314,1.6502759965982838,-1.3156154155731201,-1.3739457433545932,-0.044613197445869446,-0.0012011944399318054,0.049287088215351105,0.004074375376434511,0.006175956688821316,-0.004853912811109889
