step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,0.05992366001009941,-7.633755764129146e-05,1.6296528577804565,1.569652960823818,-1.392985463142395,-1.3452763117345907,-0.034752294421195984,0.005458446161784943,0.05204757675528526,0.0017212626068655239,0.04879787191748619,0.003909058524463718
1,0.02,policy,False,0.027,0.1199236586689949,3.370538511644963e-05,1.686181902885437,1.569795736849573,-1.429880142211914,-1.345483566546487,-0.018745923414826393,0.005297014814348826,0.05144231393933296,0.0019132900098036414,0.011564478278160095,0.004111314878463443
2,0.04,policy,False,0.027,0.1799236536026001,0.0006500105104029236,1.7211247682571411,1.570930104511704,-1.4596174955368042,-1.3469502224904477,-0.044972676783800125,0.00510645187551199,0.028561830520629883,0.002307279140787315,0.01664043962955475,0.004245431673359358
3,0.06,policy,False,0.027,0.2399236559867859,0.0023842251987805907,1.7118767499923706,1.574070037360164,-1.479901671409607,-1.350959570370612,-0.043058354407548904,0.004824662091132618,-0.018392078578472137,0.0027300237657612103,-0.01065799780189991,0.0043141743393560516
4,0.08,policy,False,0.027,0.2601892948150635,0.005789091572351326,1.652513861656189,1.5794345586193892,-1.4701056480407715,-1.357833329407193,-0.061341941356658936,0.004493055943799198,0.00586787611246109,0.002980459597485873,-0.008755333721637726,0.0042561823480301115
5,0.1,policy,False,0.027,0.20018929243087769,0.011113647330346123,1.592513918876648,1.5861361592078744,-1.459539532661438,-1.3666057126784021,-0.09371467679738998,0.004092317856914914,0.06586787104606628,0.0031625232993631692,-0.02263885736465454,0.004146284422651347
6,0.12,policy,False,0.027,0.1401892900466919,0.017933290495178868,1.5794190168380737,1.592777623683492,-1.4415276050567627,-1.3756831863361847,-0.11990876495838165,0.0035356735082324496,0.12586787343025208,0.003512401632592272,-0.027596760541200638,0.0039821759296898565
7,0.14,policy,False,0.027,0.0801892876625061,0.02549229409975367,1.6060636043548584,1.5983938607899542,-1.429802417755127,-1.3838268220347552,-0.13737402856349945,0.002813786173383719,0.18586787581443787,0.0041105550424876645,-0.024113215506076813,0.0037736981911902973
8,0.16,policy,False,0.027,0.02018928900361061,0.03309305014330414,1.6283577680587769,1.6027879210755924,-1.4104738235473633,-1.3911168389334205,-0.07737402617931366,0.0013164182072271209,0.12586787343025208,0.006645690466625191,0.02071363478899002,0.0035855764465697448
9,0.18,policy,False,0.027,-0.03981070965528488,0.04008135098459139,1.6859365701675415,1.6059548331222575,-1.4233185052871704,-1.3964181928665174,-0.09289326518774033,0.00024809356160878255,0.14799323678016663,0.008409313820809517,0.01930508017539978,0.0035931431629879712
10,0.2,policy,False,0.027,-0.09981070458889008,0.045842051891225935,1.7302427291870117,1.6084947048269522,-1.4507339000701904,-1.4002720275807283,-0.08615697175264359,-0.0003728834150285074,0.15858399868011475,0.009206722662152354,0.020199434831738472,0.003708542096842285
11,0.22,policy,False,0.027,-0.07901372015476227,0.04979666759988558,1.7415963411331177,1.61144263451776,-1.4620577096939087,-1.4045978067357903,-0.044906288385391235,-0.0009332093383013348,0.09858399629592896,0.011026286034401485,0.007759313099086285,0.0038352135421762103
12,0.24,policy,False,0.027,-0.019013721495866776,0.05183206087561627,1.7563530206680298,1.6152764720801343,-1.4689006805419922,-1.409551692025793,-0.005884326994419098,-0.0013113050320828774,0.03858399763703346,0.012291431185053506,-0.010496349073946476,0.0039014953169927208
13,0.26,policy,False,0.027,0.04098627716302872,0.05245437053560674,1.7667872905731201,1.6201323106765,-1.4402250051498413,-1.4152084299986798,-0.021836057305336,-0.0014421555996969317,0.013164255768060684,0.012671699821161297,-0.002574014477431774,0.003853579161885933
14,0.28,policy,False,0.027,0.10098627209663391,0.05255535620162723,1.755694031715393,1.6257791019932855,-1.403247594833374,-1.421237637433363,-0.018319876864552498,-0.0015326072977721516,0.05930783599615097,0.012634962230005731,-0.0035016254987567663,0.003805447115019723
15,0.3,policy,False,0.027,0.1609862744808197,0.05265612765006541,1.7504141330718994,1.6314679597140405,-1.3815865516662598,-1.4264900472475748,-0.03941710293292999,-0.0016152394089284528,0.11674046516418457,0.012513739755490826,0.004949267953634262,0.00378459705034673
16,0.32,policy,False,0.027,0.2209862768650055,0.05310559361149905,1.772070050239563,1.6365244638882686,-1.3950729370117188,-1.429969495637016,-0.049909308552742004,-0.0017652150215513944,0.1525728404521942,0.012560784642830154,0.021376803517341614,0.0038157856039392384
