step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,-0.06325895339250565,-0.003258955763058448,1.6291263103485107,1.5691264135383711,-1.3171805143356323,-1.340181380043044,0.018619978800415993,0.003295738749161275,-0.03418293967843056,-0.008206986472923233,0.05610344186425209,-2.6016320859659886e-05
1,0.02,policy,False,0.027,-0.12325894832611084,-0.0033664315840305076,1.6891262531280518,1.5692267708676748,-1.2938112020492554,-1.3401634305839611,0.020050663501024246,0.003355897720592137,-0.05060635879635811,-0.00833420477903899,0.06865070760250092,0.00022614224575817868
2,0.04,policy,False,0.027,-0.18325895071029663,-0.003961330450188341,1.7491261959075928,1.569697293723887,-1.2726658582687378,-1.3401381945389155,0.01948288083076477,0.0034629560411120674,-0.04173538461327553,-0.00865872122723602,0.018653348088264465,0.0006802522557646713
3,0.06,policy,False,0.027,-0.24325895309448242,-0.005628244539851155,1.8091261386871338,1.5709201732481013,-1.2463206052780151,-1.340131113416451,0.04626535624265671,0.0035900238217176908,4.227086901664734e-05,-0.009136569616324752,-0.03286705166101456,0.0009727479520192636
4,0.08,policy,False,0.027,-0.18325895071029663,-0.008925036207601302,1.8415791988372803,1.5732456737403124,-1.2354457378387451,-1.3401399301929635,0.1062653511762619,0.0038363731571587167,-0.006706466432660818,-0.009599008626816037,-0.027225613594055176,0.0009318008058389189
5,0.1,policy,False,0.027,-0.12325894832611084,-0.013679131484716884,1.8617013692855835,1.5769573259762601,-1.2354629039764404,-1.3401572579271848,0.14346829056739807,0.004385062776021897,-0.03674452006816864,-0.010097539106487415,-0.017870917916297913,0.0007810971476780276
6,0.12,policy,False,0.027,-0.06325894594192505,-0.019150508599725963,1.9202947616577148,1.5822269521983854,-1.2342185974121094,-1.340184684534242,0.08346828818321228,0.006273122384125362,-0.09674452245235443,-0.010754992146131336,0.015706952661275864,0.0006563700890548779
7,0.14,policy,False,0.027,-0.0032589472830295563,-0.02461884136844535,1.8602948188781738,1.5896227985805196,-1.2638798952102661,-1.340212099328342,0.09855376183986664,0.007667952335639866,-0.03674452379345894,-0.013823516960948372,-0.04429304599761963,0.0007293891814170052
8,0.16,policy,False,0.027,0.056741051375865936,-0.029421324215636913,1.8002948760986328,1.5988176283410334,-1.2930282354354858,-1.3404521200828734,0.10909643769264221,0.008394942180329459,0.023255474865436554,-0.01755932385279888,-0.09711907804012299,0.0006222950135097847
9,0.18,policy,False,0.027,0.09222126007080078,-0.032965530240849666,1.7402949333190918,1.6088610113496309,-1.3530281782150269,-1.341043507079831,0.04909643903374672,0.00909786939571709,0.05870375782251358,-0.018835714476175505,-0.03711907938122749,0.00013478412866860695
10,0.2,policy,False,0.027,0.056111350655555725,-0.034832345675277425,1.6943527460098267,1.6193368015461114,-1.380542516708374,-1.3417472342434467,-0.010903559625148773,0.009550934695322012,0.011580061167478561,-0.01887631095027284,0.016294077038764954,-0.0002493533557851665
11,0.22,policy,False,0.027,-0.0038886480033397675,-0.03526354461890677,1.6811707019805908,1.6298812826859232,-1.3919317722320557,-1.3423848109862657,-0.0024264324456453323,0.009611635564230569,-0.013026362285017967,-0.018721096703686064,0.007854114286601543,-0.0002820904648386595
12,0.24,policy,False,0.027,-0.06388864666223526,-0.0352506795846059,1.6792269945144653,1.6401600570521235,-1.4096623659133911,-1.3427619761141918,0.006816371344029903,0.009542142100626932,-0.013012701645493507,-0.0186348688793703,0.0028453264385461807,-0.0002168473066536354
13,0.26,policy,False,0.027,-0.12388864159584045,-0.03526901373335605,1.6789029836654663,1.6501391108852845,-1.420020341873169,-1.3430495926802892,0.0019350727088749409,0.009497081312489207,-0.029830964282155037,-0.018528376907448515,0.006346116773784161,-0.00018508619776890083
14,0.28,policy,False,0.027,-0.18388864398002625,-0.03554994958308271,1.661995530128479,1.6598545965881972,-1.425804615020752,-1.3434317054658482,0.006896642502397299,0.009443673306790055,-0.05280923843383789,-0.01843219690824302,-3.004772588610649e-05,-0.00015650930473841307
15,0.3,policy,False,0.027,-0.22065982222557068,-0.03652649866546246,1.6252301931381226,1.6691180081574424,-1.4406824111938477,-1.3437797368030617,0.021278677508234978,0.009393865130034214,-0.06897220015525818,-0.018420268451295133,0.00346627295948565,-0.000154314378268965
