step,time_s,phase,ball_released,gripper_cmd,q1_target,q1_actual,q2_target,q2_actual,q3_target,q3_actual,q4_target,q4_actual,q5_target,q5_actual,q6_target,q6_actual
0,0.0,policy,False,0.027,-0.061638254672288895,-0.0016382556386970906,1.623854398727417,1.5823186703409593,-1.3291643857955933,-1.3480388834472512,-0.06514032185077667,-0.005140321195917555,0.022636650130152702,-0.0008457172623684916,0.01974586769938469,0.007450559878382972
1,0.02,policy,False,0.027,-0.12075525522232056,-0.0017456142059594016,1.6576588153839111,1.5823718689743442,-1.3102128505706787,-1.3480304097982474,-0.034138038754463196,-0.0053750166766451495,0.004848457872867584,-0.0007988956883570323,0.00610504113137722,0.007512361626354273
2,0.04,policy,False,0.027,-0.13296382129192352,-0.002328659549908817,1.682133436203003,1.5825875033094305,-1.3015497922897339,-1.3479900890471324,-0.03369374945759773,-0.00561280013606531,-0.012109171599149704,-0.0007789926721998166,-0.010804545134305954,0.007542832647357028
3,0.06,policy,False,0.027,-0.10064512491226196,-0.0036953872761461334,1.693910002708435,1.5831139370219947,-1.312265157699585,-1.3479443743923645,-0.03818506747484207,-0.005793008783659755,-0.01905393786728382,-0.0009007259870713855,-0.016048584133386612,0.007471855572708238
4,0.08,policy,False,0.027,-0.041100405156612396,-0.005676020158916152,1.6870911121368408,1.5840699544152461,-1.3379955291748047,-1.3479226030204583,-0.029648862779140472,-0.0059787412321890806,-0.022963691502809525,-0.001125739617309959,-0.024097628891468048,0.007336688585101857
5,0.1,policy,False,0.027,0.0172572061419487,-0.007745667545246601,1.676127552986145,1.5854547990034837,-1.3673880100250244,-1.3479418173876445,-0.038024164736270905,-0.00613757475215606,-0.01604456827044487,-0.0013833137357678708,-0.01574099063873291,0.0071471066564214834
6,0.12,policy,False,0.027,0.03753051534295082,-0.009282101972866986,1.6634275913238525,1.587186039605155,-1.3842597007751465,-1.3480085187148332,-0.04417141526937485,-0.0063132296027415,-0.000976240262389183,-0.001599472218005609,-0.012474153190851212,0.0069720917204759945
7,0.14,policy,False,0.027,-0.005771897733211517,-0.009929178019171854,1.648169994354248,1.589181589860644,-1.3852887153625488,-1.3481722017379991,-0.03458942100405693,-0.0065316207204775415,0.0077681951224803925,-0.0017012792870260602,-0.0027367006987333298,0.006826549977470313
8,0.16,policy,False,0.027,-0.06470388174057007,-0.010067818835419906,1.6303374767303467,1.591260781975362,-1.3833760023117065,-1.3483144050191627,-0.02882242016494274,-0.006729571423676341,-0.002765655517578125,-0.0017110702182952205,-0.002634558128193021,0.006732565229175528
9,0.18,policy,False,0.027,-0.11625855416059494,-0.010199830037922243,1.6100234985351562,1.5932740840155015,-1.3843281269073486,-1.3483906487564066,-0.02878265455365181,-0.006890094089959103,-0.02366030588746071,-0.0016862046918236897,-0.0063592661172151566,0.006659762267061544
10,0.2,policy,False,0.027,-0.11305610090494156,-0.010704617895827143,1.5918028354644775,1.595103648092916,-1.3972262144088745,-1.3484343688537377,-0.029274819418787956,-0.00704108218032989,-0.05360984802246094,-0.001694807539706961,-0.011422929354012012,0.006568439806847139
11,0.22,policy,False,0.027,-0.06116904318332672,-0.01177639383242641,1.5840579271316528,1.5966321963898122,-1.4232828617095947,-1.348469328889392,-0.026597749441862106,-0.0071971651942675805,-0.07114246487617493,-0.0018002825636203909,-0.006451054010540247,0.00644050129275679
12,0.24,policy,False,0.027,-0.0061417147517204285,-0.01308339440149864,1.5854157209396362,1.5977962660769789,-1.4523404836654663,-1.348533078820062,-0.026072880253195763,-0.007346048542292692,-0.06938781589269638,-0.002000562672000413,-0.008596123196184635,0.006318027771225607
