t_ns,phase,tau_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
1779590911615098237,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155925,0.38744999999999996,0.5103,0.0095844,-0.07859208,0.02300256
1779590911615098237,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155925,0.38744999999999996,0.5103,0.0095844,-0.07859208,0.02300256
1779590911620023250,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.165375,0.38744999999999996,0.4961249999999999,0.00575064,-0.07763364,0.01725192
1779590911620023250,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.165375,0.38744999999999996,0.4961249999999999,0.00575064,-0.07763364,0.01725192
1779590911625023126,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17955,0.42524999999999996,0.486675,0.00575064,-0.07763364,0.01725192
1779590911625023126,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17955,0.42524999999999996,0.486675,0.00575064,-0.07763364,0.01725192
1779590911630100011,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.137025,0.378,0.477225,0.0095844,-0.07571676,0.01245972
1779590911630100011,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.137025,0.378,0.477225,0.0095844,-0.07571676,0.01245972
1779590911635024785,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.137025,0.378,0.477225,0.0095844,-0.07475832,0.0095844
1779590911635024785,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.137025,0.378,0.477225,0.0095844,-0.07475832,0.0095844
1779590911640101671,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.146475,0.4347,0.467775,0.0047922,-0.07475832,0.01629348
1779590911640101671,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.146475,0.4347,0.467775,0.0047922,-0.07475832,0.01629348
1779590911645102977,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1701,0.42997499999999994,0.505575,0.0047922,-0.07859208,0.01629348
1779590911645102977,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1701,0.42997499999999994,0.505575,0.0047922,-0.07859208,0.01629348
1779590911650026082,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1701,0.38744999999999996,0.505575,0.00670908,-0.07188299999999999,0.01054284
1779590911650026082,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1701,0.38744999999999996,0.505575,0.00670908,-0.07188299999999999,0.01054284
1779590911655108451,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17482499999999998,0.38744999999999996,0.5103,0.00862596,-0.06996611999999999,0.014376599999999998
1779590911655108451,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17482499999999998,0.38744999999999996,0.5103,0.00862596,-0.06996611999999999,0.014376599999999998
1779590911660107851,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.165375,0.3402,0.4914,0.00862596,-0.06996611999999999,0.014376599999999998
1779590911660107851,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.165375,0.3402,0.4914,0.00862596,-0.06996611999999999,0.014376599999999998
1779590911665105342,step,0.0,0.0,1.4452547936989446,-2.9139319059596533,-0.09176941206986185,-0.016493361431346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155925,0.382725,0.505575,0.0095844,-0.07763364,0.014376599999999998
